30.0
Point = 0
p23 1.6096388855465489 0.9606521434085062 3.0046026564913575
p24 1.6381115519939653 1.5105415324322227 -0.3828365863132831
p25 2.9519918641232814 3.03473081946912 -0.4900653738300217
p26 3.086340393532902 1.4560311576664298 0.6937259268439967
p27 1.4416086948564217 3.227818622021789 0.8304522073285359
p28 1.6732937478629195 1.6669746669508478 1.7433864357450222
p29 2.9883648891790546 3.1772719706111823 1.5430638493209754
30.0
Point = 2
p0 41.99223731234814 -2605.4210518873224 -136.64281747510265
p1 -259.6579857257165 -168.75854178275804 -15.749695315177412
p2 -302.0564870676893 4.839177012246126 -63.84521751331336
p3 -155.7968113873519 -49.4637611543374 -11.86315557272449
p4 -10.343709462647166 -59.245795683547875 15.229573298463015
p5 -15.978393014143203 -35.759453870466444 -0.12522195293003358
p6 -80.43535160172915 -27.12932954977883 87.43803278778107
p7 -29.48142419730698 -317.4493427240806 49.01228508010732
p8 -63.399594462522046 2596.8823963954737 80.7964302978305
p9 -1.0143631613143582 158.9978866525905 -8.321610112438234
p10 -204.53853362065496 -6.391546514583391 -137.034810635658
p11 -27.555659438677054 56.00009136935005 -57.3732752107483
p12 -3.3658256424935784 61.95669249760713 34.0588327735352
p13 -8.956249348463105 50.94811871847247 4.423324932270338
p14 8.579583570539375 29.79097082484052 149.54659944187395
p15 -158.39954891970146 334.66003710511114 221.72395008950002
p16 3.3589850993881685 -18.72614650207717 -10.699980857228962
p17 264.05246394728164 25.864168964034956 -4.28035485253361
p18 312.92223221538165 -40.24786681229277 -134.794484809894
p19 245.21431441487783 -1022.1093443913155 -103.76271182728362
p20 4.87576300106879 -15.971790524431867 7.764892267147434
p21 25.2028046648597 -2.7557414177616715 13.250799027721676
p22 84.6430234474008 -18.23292573507354 160.7326491759179
p23 4.1798094595510875 -219.08095318788315 1399.773861466116
p24 25.65476893921308 238.7088433053969 -1383.2415569589407
p25 177.2312109666705 23.240778140249468 -199.9510417402795
p26 199.5481784896051 15.076309224849249 -1.2880708073697442
p27 -65.9192470937121 1023.7261048909421 68.10995678680445
p28 10.920519314655463 7.02616954432985 7.750521004845567
p29 11.926038740285653 12.428596531220265 1.988238524224064
30.0
Point = 3
p0 20569.935885167404 -207752.0766758863 -10597.320255006376
p1 -205984.66881945796 -2189611.392482341 -47146.70371970662
p2 -1336.4330946615983 -654.9895943457973 -742.1210281099993
p3 -5158.091505442358 -4648.539996450371 -591.6293459720821
p4 6556.047383012234 -267526.43401748076 -9315.126882833263
p5 2263201990.3957763 -48013464040.10946 -3092279792.2569838
p6 -41473.15456489874 -9632.006895335006 29297.82351560061
p7 11210.05467219411 -64293.280040209036 17886.971843201867
p8 159268.83917512465 2714662.279051674 90236.79505371259
p9 2298.323766256181 6285.313577789446 -141.90022301391014
p10 -1980721.7463881024 -2104593.847537289 10694614.636143925
p11 -13739757749.45314 33211268339.205967 -20743414156.241146
p12 2515.150815929527 2927.2773780889834 1977.6563880609444
p13 -6445.406381981833 4056.8122008977357 -13996.098008563356
p14 5327.601877695188 -26270.409149709143 21670.21291167642
p15 -269.5082678347537 1652.8326600954108 1217.3570403540184
p16 13739266233.07862 -33210417184.788036 20743454069.392273
p17 362541.2020771078 14626.643928953325 806599.6779771475
p18 16218338.46164134 -2651476.731447827 -7370225.93387648
p19 1078900067.0276427 -4784661802.970037 -489054308.101678
p20 -2512.2997556549344 1102.3874355661414 1099.3903362872393
p21 42728.14062734133 9702.488298832599 -28615.60619967046
p22 4832.142603104869 -1568.4957024070861 8264.661254222685
p23 115.13477963427565 -4269.89386076862 23178.614091982487
p24 1980299.746631191 2122134.165550806 -10767326.37921722
p25 -354671.7423436481 -11168.816452840609 -809901.0810762782
p26 283113.8626448684 11593.466186247944 54167.28192782659
p27 -2263207188.8617253 48013489416.79732 3092260391.7633915
p28 16.016703515781906 -1706.3243786926112 -2922.709714790018
p29 -1094904476.3945813 4786441734.838963 496345139.6011496
30.0
Point = 4
